order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc
4652,โฉนด,44833,794,952,05L196,0,1,0.2,,100.2,,,
4653,โฉนด,44737,797,954,05L197,0,0,29.7,,,29.7,,
4654,โฉนด,65525,63,1147,05L197/001,0,0,23.2,,23.2,,,
4655,โฉนด,65524,62,1146,05L197/002,0,0,23.6,,,23.6,,
4656,โฉนด,65523,61,1145,05L197/003,0,0,23.2,,,23.2,,
4657,โฉนด,65522,60,6524,05L197/004,0,0,23.2,,,23.2,,
4658,โฉนด,65521,59,1143,05L197/005,0,0,23.2,,,23.2,,
4659,โฉนด,65520,58,1142,05L197/006,0,0,23.3,,23.3,,,
4660,โฉนด,65519,57,1141,05L197/007,0,0,31.5,,31.5,,,
4661,โฉนด,44846,769,969,05L198,0,1,56.3,,156.3,,,
4662,โฉนด,30606,800,902,05L199,0,0,8.1,,8.1,,,
4663,โฉนด,69506,7,3124,05L200,0,1,41.8,,137.3,4.5,,
4664,โฉนด,30599,788,895,05L201,0,1,99.9,,,199.9,,
4665,โฉนด,43442,806,938,05L202,0,0,50,,50,,,
4666,โฉนด,43443,805,939,05L203,0,1,0,,,100,,
4667,โฉนด,43444,804,940,05L204,0,0,25.7,,,25.7,,
4668,โฉนด,67600,924,3004,05L205,0,0,20.7,,,20.7,,
4669,โฉนด,67599,923,3003,05L206,0,0,20.3,,,20.3,,
4670,โฉนด,67598,922,3002,05L207,0,0,20.1,,,20.1,,
4671,โฉนด,67597,921,3001,05L208,0,0,19.8,,,19.8,,
4672,โฉนด,67596,920,3000,05L209,0,0,6.7,,,6.7,,
4673,โฉนด,43445,803,941,05L209/001,0,0,13.5,,,13.5,,
4674,โฉนด,67605,919,2999,05L210,0,0,20.8,,,20.8,,
4675,โฉนด,67604,918,6121,05L211,0,0,21.6,,21.6,,,
4676,โฉนด,67603,917,2997,05L212,0,0,22.3,,22.3,,,
4677,โฉนด,67602,916,2996,05L213,0,0,23,,,23,,
4678,โฉนด,67601,925,3005,05L214,0,0,12.4,,12.4,,,
4679,โฉนด,67595,926,3006,05L216,0,0,24.4,,24.4,,,
4680,โฉนด,43446,802,942,05L217,0,0,75.2,,75.2,,,
4681,โฉนด,30601,801,897,05L218,0,1,42.6,,,142.6,,
4682,โฉนด,30602,89,898,05L219,0,3,62.3,,,,362.3,
4683,โฉนด,27502,763,733,05L220,9,0,29,,,,,
4684,โฉนด,1889,1521,14,05M001,4,0,17.2,,,,1617.2,
4685,โฉนด,126237,932,12370,05M001/001,0,1,57.6,,,,157.6,
4686,โฉนด,126238,933,12371,05M001/002,0,0,84.1,,,,84.1,
4687,โฉนด,126239,934,12372,05M001/003,0,0,86.1,,,,86.1,
4688,โฉนด,126240,935,12373,05M001/004,0,0,92.4,,,,92.4,
4689,โฉนด,126241,936,12374,05M001/005,0,0,94,,,,94,
4690,โฉนด,126242,937,12375,05M001/006,0,2,21.8,,,,221.8,
4691,โฉนด,126243,2763,12376,05M001/007,0,3,78.2,,,,378.2,
4692,โฉนด,9552,1525,1407,05M002,0,1,10.1,,,110.1,,
4693,โฉนด,9553,1524,1408,05M003,0,0,97.4,,97.4,,,
4694,โฉนด,9554,1522,1409,05M004,0,1,32.8,,,132.8,,
4695,โฉนด,9555,1523,6311,05M005,0,1,4.4,,,104.4,,
4696,โฉนด,9571,1544,1426,05M006,0,1,2.6,,102.6,,,
4697,โฉนด,9572,1545,1427,05M007,0,0,98.2,,,98.2,,
4698,โฉนด,10093,1549,1434,05M008,1,0,17.1,,,417.1,,
4699,โฉนด,133802,2774,13725,05M008/002,0,3,59.3,,,,,
4700,โฉนด,10092,1548,1433,05M009,0,1,16.7,,116.7,,,
4701,โฉนด,68158,2688,7186,05M009/002,0,1,76.4,,,,176.4,
4702,โฉนด,68157,2687,7185,05M009/003,0,1,76.4,176.4,,,,
4703,โฉนด,68156,2686,7184,05M009/004,0,1,76.4,,,176.4,,
4704,โฉนด,10091,1547,1432,05M010,2,0,5,,,,805,
4705,โฉนด,1387,1558,11,05M011,0,3,39.3,,,,339.3,
4706,โฉนด,75630,20,6497,05M011/001,0,0,84,,,,84,
4707,โฉนด,75629,19,6496,05M011/002,0,1,69.5,,,,169.5,
4708,โฉนด,75628,18,6495,05M011/003,0,2,75.5,,,,275.5,
4709,โฉนด,75627,17,6483,05M011/004,0,1,68.3,,,,168.3,
4710,โฉนด,75626,16,6479,05M011/005,0,1,52.2,,,,152.2,
4711,โฉนด,75625,15,6480,05M011/006,0,1,93.5,,,,193.5,
