ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
938,โฉนด,132816,699,5850.0,02E163/003,0.0,1.0,23.9,-,-,-,123.9,-,ว่างเปล่า/ไม่ทำประโยชน์
940,โฉนด,26654,54,5059.0,02E163/005,0.0,2.0,50.0,-,-,-,250.0,-,ว่างเปล่า/ไม่ทำประโยชน์
941,โฉนด,132818,701,5852.0,02E163/006,0.0,1.0,16.1,-,-,-,116.1,-,ว่างเปล่า/ไม่ทำประโยชน์
944,โฉนด,132821,704,5855.0,02E163/009,0.0,1.0,15.0,-,-,-,115.0,-,ว่างเปล่า/ไม่ทำประโยชน์
945,โฉนด,107968,15,5024.0,02E163/010,2.0,0.0,-,-,-,-,800.0,-,ว่างเปล่า/ไม่ทำประโยชน์
963,โฉนด,131184,1044,5514.0,02F010/001,0.0,0.0,81.9,-,-,-,81.9,-,ว่างเปล่า/ไม่ทำประโยชน์
966,โฉนด,139834,1070,6275.0,02F011/001,0.0,0.0,92.6,-,-,-,92.6,-,ว่างเปล่า/ไม่ทำประโยชน์
987,โฉนด,79929,525,9102.0,02F024,3.0,3.0,13.5,-,-,-,1513.5,-,ว่างเปล่า/ไม่ทำประโยชน์
991,โฉนด,139619,1067,6272.0,02F027/001,0.0,0.0,82.5,-,-,-,82.5,-,ว่างเปล่า/ไม่ทำประโยชน์
994,โฉนด,119375,719,11935.0,02F030/001,0.0,0.0,27.6,-,-,-,27.6,-,ว่างเปล่า/ไม่ทำประโยชน์
1011,โฉนด,2851,724,1939.0,02G008,0.0,0.0,52.8,-,-,-,52.8,-,ว่างเปล่า/ไม่ทำประโยชน์
1012,โฉนด,16423,723,2430.0,02G008/001,0.0,0.0,6.0,-,-,-,6.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1014,โฉนด,1086,716,1043.0,02G010,0.0,0.0,46.1,-,-,-,46.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1015,โฉนด,83326,721,1044.0,02G011,0.0,0.0,47.2,-,-,-,47.2,-,ว่างเปล่า/ไม่ทำประโยชน์
1066,โฉนด,20690,972,6522.0,02H002,0.0,1.0,51.2,-,-,-,151.2,-,ว่างเปล่า/ไม่ทำประโยชน์
1067,โฉนด,144826,1084,6523.0,02H002/001,-,2.0,0.2,-,-,-,200.2,-,ว่างเปล่า/ไม่ทำประโยชน์
1068,โฉนด,145485,1088,6550.0,02H002/002,1.0,0.0,6.7,-,-,-,406.7,-,ว่างเปล่า/ไม่ทำประโยชน์
1069,โฉนด,145484,1087,6549.0,02H002/003,0.0,0.0,64.1,-,-,-,64.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1070,โฉนด,145483,1086,6548.0,02H002/004,0.0,1.0,5.3,-,-,-,105.3,-,ว่างเปล่า/ไม่ทำประโยชน์
1071,โฉนด,145486,1089,6551.0,02H002/005,0.0,1.0,50.0,-,-,-,150.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1072,โฉนด,145487,1090,6552.0,02H002/006,0.0,2.0,19.0,-,-,-,219.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1073,โฉนด,20691,971,4240.0,02H003,4.0,3.0,33.3,-,-,-,1933.3,-,ว่างเปล่า/ไม่ทำประโยชน์
1074,โฉนด,2675,1193,799.0,02H004,6.0,3.0,6.7,-,-,-,2706.7,-,ว่างเปล่า/ไม่ทำประโยชน์
1085,โฉนด,93164,33,10378.0,02I003/002,0.0,0.0,45.3,-,-,-,45.3,-,ว่างเปล่า/ไม่ทำประโยชน์
1090,โฉนด,2307,735,1038.0,02I005,0.0,0.0,46.1,-,-,-,46.1,-,ว่างเปล่า/ไม่ทำประโยชน์
