ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
1646,โฉนด,80951,22,4562.0,03C004/003,1.0,0.0,-,-,-,-,400.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1647,โฉนด,2058,1071,1597.0,03C005,2.0,2.0,13.0,-,-,-,1013.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1648,โฉนด,120768,32,5155.0,03C005/001,4.0,3.0,68.9,-,-,-,1968.9,-,ว่างเปล่า/ไม่ทำประโยชน์
1649,โฉนด,137333,46,6172.0,03C005/002,0.0,0.0,41.1,-,-,-,41.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1650,โฉนด,137334,47,6173.0,03C005/003,0.0,0.0,41.1,-,-,-,41.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1651,โฉนด,137335,48,6174.0,03C005/004,0.0,0.0,41.1,-,-,-,41.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1652,โฉนด,137336,49,6175.0,03C005/005,0.0,0.0,41.2,-,-,-,41.2,-,ว่างเปล่า/ไม่ทำประโยชน์
1653,โฉนด,137337,50,6176.0,03C005/006,0.0,0.0,41.3,-,-,-,41.3,-,ว่างเปล่า/ไม่ทำประโยชน์
1654,โฉนด,137338,51,6177.0,03C005/007,0.0,0.0,41.4,-,-,-,41.4,-,ว่างเปล่า/ไม่ทำประโยชน์
1655,โฉนด,137339,52,6178.0,03C005/008,0.0,0.0,41.5,-,-,-,41.5,-,ว่างเปล่า/ไม่ทำประโยชน์
1656,โฉนด,137340,53,6179.0,03C005/009,1.0,2.0,67.2,-,-,-,667.2,-,ว่างเปล่า/ไม่ทำประโยชน์
1695,โฉนด,10928,1054,2511.0,03D020,0.0,2.0,40.1,-,-,-,240.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1702,โฉนด,10960,1062,2506.0,03D028,0.0,0.0,48.1,-,-,-,48.1,-,ว่างเปล่า/ไม่ทำประโยชน์
1703,โฉนด,10961,1063,2485.0,03D029,0.0,1.0,26.4,-,-,-,126.4,-,ว่างเปล่า/ไม่ทำประโยชน์
